Apertium individual	UD tag
apertium:A	ADJ
apertium:adj	ADJ
apertium:ADJ	ADJ
apertium:Adp	ADP
apertium:ADP	ADP
apertium:adv	ADV
apertium:Adv	ADV
apertium:agnt	NOUN
apertium:al	PROPN
apertium:ant	PROPN
apertium:apos	PUNCT
apertium:art	DET
apertium:CC	CCONJ
apertium:clb	PUNCT
apertium:CLB	PUNCT
apertium:cm	PUNCT
apertium:cnj	CONJ
apertium:cnjadv	ADV
apertium:cnjadv	SCONJ
apertium:cnjcoo	CCONJ
apertium:cnjsub	SCONJ
apertium:cog	PROPN
apertium:comma	PUNCT
apertium:conj	CONJ
apertium:cop	VERB
apertium:cs	SCONJ
apertium:CS	SCONJ
apertium:dash	PUNCT
apertium:def	PRON
apertium:dem	PRON
apertium:Dem	PRON
apertium:Der_eapmi	NOUN
apertium:Der_las	ADJ
apertium:Der_muš	NOUN
apertium:Der_vuohta	NOUN
apertium:det	DET
apertium:DET	DET
apertium:detnt	DET
apertium:dst	DET
apertium:emph	PART
apertium:G3	NOUN
apertium:gna	ADV
apertium:guio	PUNCT
apertium:hyd	PROPN
apertium:ij	INTJ
apertium:indef	PRON
apertium:interj	INTJ
apertium:itg	PRON
apertium:lpar	PUNCT
apertium:lquest	PUNCT
apertium:lquot	PUNCT
apertium:mod	PART
apertium:MOD	PART
apertium:mod_ass	PART
apertium:mod_ind	PART
apertium:n	NOUN
apertium:N	NOUN
apertium:np	PROPN
apertium:num	NUM
apertium:Num	NUM
apertium:org	PROPN
apertium:Org	PROPN
apertium:pat	PROPN
apertium:Pcle	PART
apertium:percent	PUNCT
apertium:pers	PRON
apertium:Pers	PRON
apertium:Plc	NOUN
apertium:Po	ADP
apertium:pos	PRON
apertium:post	ADP
apertium:pprs	ADJ
apertium:pr	ADP
apertium:Pr	ADP
apertium:preadv	ADV
apertium:predet	DET
apertium:prep	ADP
apertium:prn	PRON
apertium:pron	VERB
apertium:Pron	VERB
apertium:Prop	PROPN
apertium:prx	DET
apertium:punct	PUNCT
apertium:qnt	PRON
apertium:qst	PART
apertium:Qst	PART
apertium:quot	PUNCT
apertium:quote	PUNCT
apertium:Rabl	ADP
apertium:Racc	ADP
apertium:Rdat	ADP
apertium:ref	PRON
apertium:rel	PRON
apertium:res	PRON
apertium:Rgen	ADP
apertium:Rins	ADP
apertium:Rloc	ADP
apertium:Rnom	ADP
apertium:rpar	PUNCT
apertium:rquot	PUNCT
apertium:sent	PUNCT
apertium:sep	VERB
apertium:short	ADJ
apertium:sint	ADJ
apertium:subs	NOUN
apertium:top	PROPN
apertium:v	VERB
apertium:V	VERB
apertium:vaux	AUX
apertium:vbavea	VERB
apertium:vbdo	VERB
apertium:vbhaver	VERB
apertium:vblex	VERB
apertium:vbloc	VERB
apertium:vbmod	AUX
apertium:vbser	VERB
apertium:VGen	VERB
apertium:vpart	PART
